,researchExp,toeflScore,GRE_Total,CGPA,University
0,0.0,113.0,318,8.149999999999999,University of Wisconsin - Madison
1,0.0,117.0,330,9.675,University of Wisconsin - Madison
2,0.0,111.0,315,9.05,University of Wisconsin - Madison
3,0.0,106.0,310,9.200000000000001,University of Wisconsin - Madison
4,6.0,114.0,336,9.525,University of Wisconsin - Madison
5,0.0,117.0,317,8.8,University of Wisconsin - Madison
6,0.0,109.0,313,9.200000000000001,University of Wisconsin - Madison
7,0.0,86.0,317,9.45,University of Wisconsin - Madison
8,0.0,110.0,319,8.55,University of Wisconsin - Madison
9,0.0,112.0,331,9.675,University of Wisconsin - Madison
10,0.0,113.0,320,9.6,University of Wisconsin - Madison
11,0.0,113.0,319,9.6,University of Wisconsin - Madison
12,0.0,109.0,314,9.350000000000001,University of Wisconsin - Madison
13,0.0,108.0,316,9.925,University of Wisconsin - Madison
14,0.0,111.0,322,9.45,University of Wisconsin - Madison
15,0.0,105.0,322,9.525,University of Wisconsin - Madison
16,0.0,114.0,319,8.725000000000001,University of Wisconsin - Madison
17,0.0,118.0,324,9.75,University of Wisconsin - Madison
18,0.0,106.0,318,7.925,University of Wisconsin - Madison
19,0.0,117.0,339,9.350000000000001,University of Wisconsin - Madison
20,0.0,110.0,319,9.0,University of Wisconsin - Madison
21,0.0,106.0,327,9.275,University of Wisconsin - Madison
22,0.0,110.0,319,9.200000000000001,University of Wisconsin - Madison
23,0.0,116.0,326,9.45,University of Wisconsin - Madison
24,0.0,118.0,339,8.725000000000001,University of Wisconsin - Madison
25,0.0,116.0,321,8.55,University of Wisconsin - Madison
26,0.0,103.0,314,8.65,University of Wisconsin - Madison
27,0.0,110.0,317,9.75,University of Wisconsin - Madison
28,0.0,114.0,320,9.6,University of Wisconsin - Madison
29,0.0,106.0,314,9.350000000000001,University of Wisconsin - Madison
30,0.0,107.0,320,8.55,University of Wisconsin - Madison
31,12.0,110.0,316,9.45,University of Wisconsin - Madison
32,0.0,118.0,326,9.6,University of Wisconsin - Madison
33,0.0,115.0,325,9.75,University of Wisconsin - Madison
34,0.0,115.0,322,9.45,University of Wisconsin - Madison
35,0.0,111.0,320,9.350000000000001,University of Wisconsin - Madison
36,0.0,114.0,325,8.8,University of Wisconsin - Madison
37,0.0,112.0,322,9.05,University of Wisconsin - Madison
38,0.0,113.0,331,9.125,University of Wisconsin - Madison
39,0.0,116.0,326,9.05,University of Wisconsin - Madison
40,0.0,112.0,317,9.05,University of Wisconsin - Madison
41,0.0,116.0,318,9.525,University of Wisconsin - Madison
42,16.0,109.0,317,9.45,University of Wisconsin - Madison
43,0.0,107.0,331,9.75,University of Wisconsin - Madison
44,0.0,114.0,327,9.85,University of Wisconsin - Madison
45,0.0,107.0,325,8.725000000000001,University of Wisconsin - Madison
46,0.0,112.0,325,9.275,University of Wisconsin - Madison
47,0.0,111.0,330,8.95,University of Wisconsin - Madison
48,0.0,113.0,323,8.725000000000001,University of Wisconsin - Madison
49,0.0,112.0,321,9.200000000000001,University of Wisconsin - Madison
50,0.0,108.0,318,9.350000000000001,University of Wisconsin - Madison
51,0.0,108.0,316,9.125,University of Wisconsin - Madison
52,0.0,107.0,308,6.625,University of Washington
53,0.0,114.0,319,8.25,University of Washington
54,0.0,104.21251509054326,308,7.8500000000000005,University of Washington
55,0.0,101.0,310,8.075,University of Washington
56,0.0,104.21251509054326,308,7.25,University of Washington
57,0.0,111.0,308,8.25,University of Washington
58,0.0,117.0,321,7.675,University of Washington
59,0.0,106.0,316,7.375,University of Washington
60,0.0,108.0,325,7.125,University of Washington
61,0.0,111.0,316,7.75,University of Washington
62,0.0,111.0,311,7.125,University of Washington
63,0.0,112.0,318,7.8500000000000005,University of Washington
64,0.0,105.0,311,7.125,University of Washington
65,0.0,102.0,314,7.125,University of Washington
66,0.0,100.0,308,8.0,University of Washington
67,0.0,111.0,323,7.6,University of Washington
68,0.0,109.0,313,6.25,University of Washington
69,0.0,111.0,318,7.6,University of Washington
70,0.0,102.0,315,8.0,University of Washington
71,0.0,108.0,319,8.325,University of Washington
72,0.0,107.0,307,6.75,University of Washington
73,0.0,107.0,316,8.0,University of Washington
74,0.0,112.0,314,6.75,University of Washington
75,0.0,111.0,316,8.875,University of Washington
76,0.0,104.21251509054326,314,8.25,University of Washington
77,0.0,110.0,308,8.25,University of Washington
78,0.0,105.0,314,7.75,University of Washington
79,0.0,104.21251509054326,317,7.6,University of Washington
80,0.0,94.0,308,7.75,University of Washington
81,0.0,104.21251509054326,309,8.25,University of Washington
82,0.0,107.0,319,8.875,University of Washington
83,0.0,111.0,313,9.350000000000001,University of Washington
84,0.0,108.0,305,7.6,University of Washington
85,0.0,109.0,310,9.25,University of Washington
86,0.0,110.0,308,8.725000000000001,University of Washington
87,0.0,107.0,318,8.0,University of Washington
88,0.0,110.0,318,7.75,University of Washington
89,0.0,113.0,319,8.475,University of Washington
90,0.0,109.0,315,7.925,University of Washington
91,0.0,102.0,315,6.5,University of Washington
92,0.0,103.0,322,9.05,University of Washington
93,0.0,110.0,314,7.75,University of Washington
94,0.0,97.0,309,9.25,University of Washington
95,0.0,107.0,325,8.725000000000001,University of Washington
96,0.0,104.21251509054326,318,8.725000000000001,University of Washington
97,0.0,117.0,320,8.075,University of Washington
98,0.0,104.0,308,9.0,University of Washington
99,0.0,107.0,314,7.125,University of Washington
100,0.0,99.0,312,7.25,University of Washington
101,0.0,117.0,330,8.55,University of Washington
102,0.0,115.0,322,6.625,University of Washington
103,0.0,109.0,314,8.075,University of Washington
104,0.0,112.0,297,6.75,University of Washington
105,0.0,107.0,319,9.200000000000001,University of Washington
106,0.0,106.0,311,8.25,University of Washington
107,0.0,106.0,308,7.6,University of Washington
108,0.0,105.0,322,7.8500000000000005,University of Washington
109,0.0,119.0,318,8.325,University of Washington
110,0.0,110.0,316,8.65,University of Washington
111,0.0,100.0,320,8.149999999999999,University of Washington
112,0.0,107.0,308,8.65,University of Washington
113,0.0,110.0,311,6.25,University of Washington
114,0.0,107.0,326,7.925,University of Washington
115,0.0,106.0,319,8.55,University of Washington
116,0.0,104.21251509054326,295,8.0,University of Washington
117,0.0,114.0,328,8.075,University of Washington
118,0.0,104.21251509054326,319,6.5,University of Washington
119,0.0,110.0,319,8.75,University of Washington
120,0.0,106.0,309,8.149999999999999,University of Washington
121,0.0,119.0,315,7.25,University of Washington
122,0.0,105.0,313,7.375,University of Washington
123,0.0,110.0,315,8.75,University of Washington
124,0.0,111.0,318,8.325,University of Washington
125,0.0,91.0,322,8.475,University of Washington
126,0.0,120.0,326,8.475,University of Washington
127,0.0,106.0,318,7.75,University of Washington
128,0.0,109.0,313,7.125,University of Washington
129,0.0,118.0,319,7.5,University of Washington
130,0.0,117.0,308,8.475,University of Washington
131,0.0,109.0,319,8.725000000000001,University of Washington
132,0.0,101.0,315,6.875,University of Washington
133,0.0,97.0,309,8.0,University of Washington
134,0.0,109.0,320,8.95,University of Washington
135,0.0,104.21251509054326,323,7.6,University of Washington
136,0.0,97.0,314,8.725000000000001,University of Washington
137,0.0,116.0,323,8.55,University of Washington
138,0.0,107.0,309,6.875,University of Washington
139,0.0,100.0,308,7.675,University of Washington
140,0.0,104.21251509054326,320,7.375,University of Washington
141,0.0,101.0,313,7.925,University of Washington
142,0.0,112.0,308,6.875,University of Washington
143,0.0,105.0,310,8.475,University of Washington
144,0.0,112.0,318,7.75,University of Washington
145,0.0,109.0,321,6.75,University of Washington
146,0.0,101.0,323,8.325,University of Washington
147,0.0,118.0,323,9.350000000000001,University of Washington
148,0.0,115.0,307,8.725000000000001,University of Washington
149,0.0,102.0,317,8.95,University of Washington
150,0.0,103.0,316,6.75,University of Washington
151,0.0,110.0,310,8.0,University of Washington
152,0.0,104.21251509054326,315,8.475,University of Washington
153,0.0,104.21251509054326,317,8.25,University of Washington
154,0.0,100.0,308,7.75,University of Washington
155,0.0,113.0,316,6.75,University of Washington
156,0.0,117.0,319,8.725000000000001,University of Washington
157,0.0,111.0,319,8.149999999999999,University of Washington
158,0.0,105.0,311,8.0,University of Washington
159,0.0,98.0,308,6.875,University of Washington
160,0.0,118.0,321,8.075,University of Washington
161,0.0,108.0,314,7.8500000000000005,University of Washington
162,0.0,111.0,322,7.375,University of Washington
163,0.0,103.0,308,8.4,University of Washington
164,0.0,104.21251509054326,324,8.8,University of Washington
165,0.0,113.0,308,8.25,University of Washington
166,0.0,104.0,316,6.5,University of Washington
167,0.0,111.0,327,8.149999999999999,University of Washington
168,0.0,101.0,317,9.125,University of Washington
169,0.0,106.0,308,8.95,University of Washington
170,0.0,103.0,316,8.075,University of Utah
171,0.0,102.0,312,9.125,University of Utah
172,0.0,115.0,313,9.05,University of Utah
173,0.0,113.0,323,8.0,University of Utah
174,36.0,111.0,309,9.05,University of Utah
175,0.0,103.0,321,9.525,University of Utah
176,0.0,114.0,321,7.675,University of Utah
177,0.0,101.0,324,7.125,University of Utah
178,0.0,100.0,315,8.725000000000001,University of Utah
179,0.0,110.0,329,8.95,University of Utah
180,0.0,116.0,313,7.125,University of Utah
181,24.0,102.0,317,8.325,University of Utah
182,0.0,106.0,324,7.5,University of Utah
183,0.0,104.21251509054326,316,7.8500000000000005,University of Utah
184,0.0,104.21251509054326,326,8.65,University of Utah
185,0.0,98.0,314,8.325,University of Utah
186,32.0,112.0,312,7.6,University of Utah
187,0.0,95.0,304,8.149999999999999,University of Utah
188,0.0,110.0,318,7.75,University of Utah
189,0.0,111.0,326,8.325,University of Utah
190,0.0,110.0,321,6.875,University of Utah
191,0.0,103.0,318,8.075,University of Utah
192,0.0,107.0,334,8.25,University of Utah
193,0.0,108.0,314,7.6,University of Utah
194,0.0,108.0,321,9.05,University of Utah
195,0.0,113.0,320,8.0,University of Utah
196,0.0,99.0,310,8.725000000000001,University of Utah
197,0.0,110.0,312,9.125,University of Utah
198,0.0,113.0,329,8.075,University of Utah
199,0.0,97.0,298,7.675,University of Utah
